id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
983,service,[전화번호_마스킹]T14:48:56,[전화번호_마스킹],하나두리,user[전화번호_마스킹],invite_members,,,[],"[""하나두리""]",,,,,,,,,,,,,,,,,,,,,,
985,message,[전화번호_마스킹]T15:01:42,[전화번호_마스킹],,,,,,[],,,Yes,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),AnimatedSticker.tgs,41763,(File not included. Change data exporting settings to download.),3084,sticker,🖐,application/x-tgsticker,512,512,,,,,,,,,
986,message,[전화번호_마스킹]T15:07:00,[전화번호_마스킹],,,,,어제 신큰님 덕분에 박카스가서 잘케어받구왔내요,"[{""type"": ""plain"", ""text"": ""어제 신큰님 덕분에 박카스가서 잘케어받구왔내요""}]",,,Kim Seokhyun,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
987,message,[전화번호_마스킹]T15:08:35,[전화번호_마스킹],,,,,"워 근대 어제 손님 많던대
오늘은 토요일이라 사람 더많을듯 ㅎ","[{""type"": ""plain"", ""text"": ""워 근대 어제 손님 많던대\n오늘은 토요일이라 사람 더많을듯 ㅎ""}]",,,Kim Seokhyun,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
988,message,[전화번호_마스킹]T15:09:51,[전화번호_마스킹],,,,,신큰님이 역시 하노이 복덕방이군요,"[{""type"": ""plain"", ""text"": ""신큰님이 역시 하노이 복덕방이군요""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
989,message,[전화번호_마스킹]T15:12:54,[전화번호_마스킹],,,,,저 사람도 오래 하긴 햇죠.,"[{""type"": ""plain"", ""text"": ""저 사람도 오래 하긴 햇죠.""}]",,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
990,message,[전화번호_마스킹]T15:13:07,[전화번호_마스킹],,,,,,[],,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,31812,(File not included. Change data exporting settings to download.),17966,sticker,💬,image/webp,499,512,,,,,,,,,
991,message,[전화번호_마스킹]T15:16:26,[전화번호_마스킹],,,,,어제만 같아라~,"[{""type"": ""plain"", ""text"": ""어제만 같아라~""}]",,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],,,,,,,,,,,,[전화번호_마스킹]T15:17:13,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 1, ""emoji"": ""👍"", ""recent"": [{""from"": ""Kim Seokhyun"", ""from_id"": ""user[전화번호_마스킹]"", ""date"": ""[전화번호_마스킹]T15:17:13""}]}]",,,,,
992,message,[전화번호_마스킹]T15:17:07,[전화번호_마스킹],,,,,ㄷㄷㄷ,"[{""type"": ""plain"", ""text"": ""ㄷㄷㄷ""}]",,,Kim Seokhyun,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
993,message,[전화번호_마스킹]T15:21:16,[전화번호_마스킹],,,,,낼 다낭 원정 다녀올게요,"[{""type"": ""plain"", ""text"": ""낼 다낭 원정 다녀올게요""}]",,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
994,message,[전화번호_마스킹]T15:21:20,[전화번호_마스킹],,,,,,[],,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,29088,(File not included. Change data exporting settings to download.),16280,sticker,💬,image/webp,480,512,,,,,,,,,
995,message,[전화번호_마스킹]T15:22:10,[전화번호_마스킹],,,,,원정이라 쓰고 휴가라는,"[{""type"": ""plain"", ""text"": ""원정이라 쓰고 휴가라는""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
996,message,[전화번호_마스킹]T15:46:58,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,57642,(File not included. Change data exporting settings to download.),31692,sticker,💬,image/webp,485,512,,,,,,,,,
997,message,[전화번호_마스킹]T15:47:08,[전화번호_마스킹],,,,,허허 이 싸람이,"[{""type"": ""plain"", ""text"": ""허허 이 싸람이""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,995,,,,,,,,
998,service,[전화번호_마스킹]T17:34:07,[전화번호_마스킹],WH Choi,user[전화번호_마스킹],invite_members,,,[],"[""WH Choi""]",,,,,,,,,,,,,,,,,,,,,,
1000,message,[전화번호_마스킹]T17:44:34,[전화번호_마스킹],,,,,또 물빼러?,"[{""type"": ""plain"", ""text"": ""또 물빼러?""}]",,,Bruce Don Gral Lee,user[전화번호_마스킹],,,,,,,,,,,993,,,,,,,,
1001,message,[전화번호_마스킹]T17:47:09,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,28230,(File not included. Change data exporting settings to download.),15486,sticker,💬,image/webp,403,512,,,,,,,,,
1002,message,[전화번호_마스킹]T17:47:16,[전화번호_마스킹],,,,,일입니다 형님,"[{""type"": ""plain"", ""text"": ""일입니다 형님""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,1000,,,,,,,,
1003,message,[전화번호_마스킹]T17:47:48,[전화번호_마스킹],,,,,가라 마사지 체리 에코 다 해봣는데 더 할거 뭐있을까요 형님들 호치민입니다,"[{""type"": ""plain"", ""text"": ""가라 마사지 체리 에코 다 해봣는데 더 할거 뭐있을까요 형님들 호치민입니다""}]",,,배 춘,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1004,message,[전화번호_마스킹]T17:50:25,[전화번호_마스킹],,,,,한번더 하세요 ㅋㅋ,"[{""type"": ""plain"", ""text"": ""한번더 하세요 ㅋㅋ""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,1003,,,,,,,,
1005,message,[전화번호_마스킹]T17:59:49,[전화번호_마스킹],,,,,"아 내가 눈이 넘 높은가 ㅜㅜ 
계속 혼자 자내요 ㅋ","[{""type"": ""plain"", ""text"": ""아 내가 눈이 넘 높은가 ㅜㅜ \n계속 혼자 자내요 ㅋ""}]",,,Kim Seokhyun,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
