id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,from,from_id,photo,photo_file_size,width,height,edited,edited_unixtime,reactions,message_id,forwarded_from,forwarded_from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,poll,duration_seconds
1289,message,[전화번호_마스킹]T21:17:21,[전화번호_마스킹],,,,,"[""디살롱 - 신규 매니저 소개\n\n번호 18\n나이 25\n키 165\n몸무게 48\n가슴 B\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman88.com/hanoi_massa/37""}, """"]","[{""type"": ""plain"", ""text"": ""디살롱 - 신규 매니저 소개\n\n번호 18\n나이 25\n키 165\n몸무게 48\n가슴 B\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman88.com/hanoi_massa/37""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),108214,891,1260,[전화번호_마스킹]T07:35:53,[전화번호_마스킹],,,,,,,,,,,,,,
1290,message,[전화번호_마스킹]T11:30:53,[전화번호_마스킹],,,,,"[""다낭 킹스파\n👉남성전용 마사지\n\n2호점 오픈\n12 Morrison, Phước Mỹ, Sơn Trà\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman88.com/da_night/9""}, """"]","[{""type"": ""plain"", ""text"": ""다낭 킹스파\n👉남성전용 마사지\n\n2호점 오픈\n12 Morrison, Phước Mỹ, Sơn Trà\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman88.com/da_night/9""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,640,480,[전화번호_마스킹]T11:30:56,[전화번호_마스킹],,,,,(File not included. Change data exporting settings to download.),오픈광고1.mp4,614217,(File not included. Change data exporting settings to download.),22181,video_file,,video/mp4,,3
1291,message,[전화번호_마스킹]T12:59:23,[전화번호_마스킹],,,,,"[""💋💋💋💋💋💋💋💋💋💋💋\n\n📣🎤Ten Pro Karaoke🎤📣\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman88.com/da_night/22""}, ""\n\n오랜 전통의 \""텐프로가라오케\"" 정상영업 합니다.\n\n📣📣📣📣📣📣📣📣📣📣📣\n신규 아가씨 항시모집중이고 새로운 아가씨들도 많이 왔습니다\n🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉\n\n🤩내상없는 1위 가라오케🤩\n\n🤩신규직원 매일 유입중입니다🤩\n\n♥️메뉴♥️\n🍾🍾위스키셋 🍾🍾\n\n🍺🍻맥주셋 🍻🍺\n\n📣20인 이상 단체룸 있습니다📣\n\n\n📣 예약문의 📣\n☎️ [전화번호_마스킹]\n☎️김실장 [전화번호_마스킹]\n☎️한국폰 [전화번호_마스킹]로밍폰\n\n카카오톡 Tenpro78\n영업시간 19:00~손님 끝날때까지\n\n📌 21 Ly T. Kiet (TienSa Hotel)\n\n💋 오셔서 편하고 즐겁게 한잔 하실수 있도록 준비하겠습니다. 감사합니다💋\n\n💋💋💋💋💋💋💋💋💋💋💋""]","[{""type"": ""plain"", ""text"": ""💋💋💋💋💋💋💋💋💋💋💋\n\n📣🎤Ten Pro Karaoke🎤📣\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman88.com/da_night/22""}, {""type"": ""plain"", ""text"": ""\n\n오랜 전통의 \""텐프로가라오케\"" 정상영업 합니다.\n\n📣📣📣📣📣📣📣📣📣📣📣\n신규 아가씨 항시모집중이고 새로운 아가씨들도 많이 왔습니다\n🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉\n\n🤩내상없는 1위 가라오케🤩\n\n🤩신규직원 매일 유입중입니다🤩\n\n♥️메뉴♥️\n🍾🍾위스키셋 🍾🍾\n\n🍺🍻맥주셋 🍻🍺\n\n📣20인 이상 단체룸 있습니다📣\n\n\n📣 예약문의 📣\n☎️ [전화번호_마스킹]\n☎️김실장 [전화번호_마스킹]\n☎️한국폰 [전화번호_마스킹]로밍폰\n\n카카오톡 Tenpro78\n영업시간 19:00~손님 끝날때까지\n\n📌 21 Ly T. Kiet (TienSa Hotel)\n\n💋 오셔서 편하고 즐겁게 한잔 하실수 있도록 준비하겠습니다. 감사합니다💋\n\n💋💋💋💋💋💋💋💋💋💋💋""}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,480,640,[전화번호_마스킹]T19:45:57,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 5, ""emoji"": ""👍""}]",,,,(File not included. Change data exporting settings to download.),full movie-1.mp4,3396530,(File not included. Change data exporting settings to download.),21169,video_file,,video/mp4,,18
1293,message,[전화번호_마스킹]T12:08:16,[전화번호_마스킹],,,,,"[""🌟클레오파트라 가라오케🌟\n\n👉고품격 가라오케!!\n👉차별화된 인테리어!!\n👉40명이상 수용 가능한 단체룸 완비\n👉보도없는 업소\n\n하노이 비즈니스 파트너 업소!\n비즈니스, 접대, 중요 모임 등\n클레오파트라에서 모시겠습니다.\n\n예약문의\n전화 - "", {""type"": ""phone"", ""text"": ""[전화번호_마스킹]""}, ""\n카카오톡 - colen58\n\n주소\n18 Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_kara/111""}, """"]","[{""type"": ""plain"", ""text"": ""🌟클레오파트라 가라오케🌟\n\n👉고품격 가라오케!!\n👉차별화된 인테리어!!\n👉40명이상 수용 가능한 단체룸 완비\n👉보도없는 업소\n\n하노이 비즈니스 파트너 업소!\n비즈니스, 접대, 중요 모임 등\n클레오파트라에서 모시겠습니다.\n\n예약문의\n전화 - ""}, {""type"": ""phone"", ""text"": ""[전화번호_마스킹]""}, {""type"": ""plain"", ""text"": ""\n카카오톡 - colen58\n\n주소\n18 Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_kara/111""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,480,640,[전화번호_마스킹]T10:39:37,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 2, ""emoji"": ""👍""}]",,,,(File not included. Change data exporting settings to download.),full movie.mp4,3605679,(File not included. Change data exporting settings to download.),11998,video_file,,video/mp4,,20
1294,message,[전화번호_마스킹]T10:41:24,[전화번호_마스킹],,,,,"[""🔴원샷 VVVIP 에스코트&황제투어🔴\n>>﻿청량고추 보증업체 \n\n≫돈은 있는데 해외 와서 차별화 된 패키지로 놀고 싶다?\n≫그저그런 에코 말고 제대로 된 가이드와 놀고 싶다? \n\n☞원샷VVVIP에서 해결해 드립니다\n\n원샷 VVVIP투어..\n﻿\n1. 해외 나가서 내상 입는 일? ㄴㄴ\n2. 돈만 비싸게 받고 스펙에 안맞는 에코걸? ㄴㄴ\n3. 진짜 여행와서 보상받는구나 라는 느낌이 들도록, 준비하겠습니다.\n4. 호치민 가고 싶다? 다낭? 나짱? 달랏?\n     하노이 어디든지 비행기 값+출장비만 있다면, 어디든지 달려갑니다.\n5. 고객이 최고이며, 왕이라 생각하고 최고의 여행을 만들어 드리겠습니다.\n\n텔레그램 "", {""type"": ""mention"", ""text"": ""@[아이디_마스킹]""}, ""\n카카오톡 hanhphucqua\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/night_king/19""}, """"]","[{""type"": ""plain"", ""text"": ""🔴원샷 VVVIP 에스코트&황제투어🔴\n>>﻿청량고추 보증업체 \n\n≫돈은 있는데 해외 와서 차별화 된 패키지로 놀고 싶다?\n≫그저그런 에코 말고 제대로 된 가이드와 놀고 싶다? \n\n☞원샷VVVIP에서 해결해 드립니다\n\n원샷 VVVIP투어..\n﻿\n1. 해외 나가서 내상 입는 일? ㄴㄴ\n2. 돈만 비싸게 받고 스펙에 안맞는 에코걸? ㄴㄴ\n3. 진짜 여행와서 보상받는구나 라는 느낌이 들도록, 준비하겠습니다.\n4. 호치민 가고 싶다? 다낭? 나짱? 달랏?\n     하노이 어디든지 비행기 값+출장비만 있다면, 어디든지 달려갑니다.\n5. 고객이 최고이며, 왕이라 생각하고 최고의 여행을 만들어 드리겠습니다.\n\n텔레그램 ""}, {""type"": ""mention"", ""text"": ""@[아이디_마스킹]""}, {""type"": ""plain"", ""text"": ""\n카카오톡 hanhphucqua\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/night_king/19""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,480,640,[전화번호_마스킹]T10:39:31,[전화번호_마스킹],,,,,(File not included. Change data exporting settings to download.),FULL VIDEO.mp4,3569983,(File not included. Change data exporting settings to download.),20602,video_file,,video/mp4,,20
1298,message,[전화번호_마스킹]T18:00:27,[전화번호_마스킹],,,,,"[""디살롱 신규 매니저 소식\n4번\n165, 52kg, D컵\n\n9번\n155, 45kg, B컵\n\n7번\n158, 48kg, B컵\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_massa/37""}, """"]","[{""type"": ""plain"", ""text"": ""디살롱 신규 매니저 소식\n4번\n165, 52kg, D컵\n\n9번\n155, 45kg, B컵\n\n7번\n158, 48kg, B컵\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_massa/37""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),99667,891,1260,[전화번호_마스킹]T10:39:24,[전화번호_마스킹],,,,,,,,,,,,,,
1299,message,[전화번호_마스킹]T18:00:27,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),97369,891,1260,[전화번호_마스킹]T18:00:30,[전화번호_마스킹],,,,,,,,,,,,,,
1300,message,[전화번호_마스킹]T18:00:27,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),101359,891,1260,[전화번호_마스킹]T18:00:30,[전화번호_마스킹],,,,,,,,,,,,,,
1301,message,[전화번호_마스킹]T11:18:08,[전화번호_마스킹],,,,,"[""박닌 피닉스 카지노\nPhoenix Foregign Club\n\n안녕하세요\n박닌 피닉스 리조트내\n위치한 피닉스 외국인 카지노입니다.\n\n하노이 박닌에서 유일하게 엔젤 슈를 사용하여\nReal Live Table 바카라를 즐기실수 있습니다.\n공식 호텔 카지노 딜러와 함께 멋진 승부 펼쳐보시기 바랍니다.\n그외 50여대 이상의 최신 슬롯머신 및 룰렛머신이\n11월말까지 업데이트 예정입니다.\n\n@[아이디_마스킹]$ 웰컴 바우처\n대상 :신규회원 / 회원 등록\n타 카지노 등급/Grade 우대\n\n@[아이디_마스킹] 및 차량 지원\n1. 택시비/차량 픽업 지원\n\n이용문의\n카카오톡 PhoenixF1\n박팀장 [전화번호_마스킹]\n설차장 [전화번호_마스킹]\nStaff  [전화번호_마스킹]\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_life/15""}, ""\n\n주소 : Đồi Pháo Thủ, Khu 6, Bắc Nin\n"", {""type"": ""link"", ""text"": ""https://goo.gl/maps/BpuQsd3kxsKRDh6d8""}, """"]","[{""type"": ""plain"", ""text"": ""박닌 피닉스 카지노\nPhoenix Foregign Club\n\n안녕하세요\n박닌 피닉스 리조트내\n위치한 피닉스 외국인 카지노입니다.\n\n하노이 박닌에서 유일하게 엔젤 슈를 사용하여\nReal Live Table 바카라를 즐기실수 있습니다.\n공식 호텔 카지노 딜러와 함께 멋진 승부 펼쳐보시기 바랍니다.\n그외 50여대 이상의 최신 슬롯머신 및 룰렛머신이\n11월말까지 업데이트 예정입니다.\n\n@[아이디_마스킹]$ 웰컴 바우처\n대상 :신규회원 / 회원 등록\n타 카지노 등급/Grade 우대\n\n@[아이디_마스킹] 및 차량 지원\n1. 택시비/차량 픽업 지원\n\n이용문의\n카카오톡 PhoenixF1\n박팀장 [전화번호_마스킹]\n설차장 [전화번호_마스킹]\nStaff  [전화번호_마스킹]\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_life/15""}, {""type"": ""plain"", ""text"": ""\n\n주소 : Đồi Pháo Thủ, Khu 6, Bắc Nin\n""}, {""type"": ""link"", ""text"": ""https://goo.gl/maps/BpuQsd3kxsKRDh6d8""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),121142,636,1280,[전화번호_마스킹]T18:19:09,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 1, ""emoji"": ""👍""}]",,,,,,,,,,,,,
1302,message,[전화번호_마스킹]T11:18:08,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),147346,636,1280,[전화번호_마스킹]T11:18:11,[전화번호_마스킹],,,,,,,,,,,,,,
1303,message,[전화번호_마스킹]T11:44:37,[전화번호_마스킹],,,,,"[""❤️문 마사지 - 신규 매니저 소개 8번❤️\n\n★ NO - 8번 ★\n▷ AGE - 23살\n▷ 156cm, 48kg, B cup\n▷ "", {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_massa/1""}, """"]","[{""type"": ""plain"", ""text"": ""❤️문 마사지 - 신규 매니저 소개 8번❤️\n\n★ NO - 8번 ★\n▷ AGE - 23살\n▷ 156cm, 48kg, B cup\n▷ ""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_massa/1""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),130068,1260,891,[전화번호_마스킹]T22:03:36,[전화번호_마스킹],,,,,,,,,,,,,,
1304,message,[전화번호_마스킹]T12:56:16,[전화번호_마스킹],,,,,"[""베트남 하노이 룸바&가라오케\n마인와인(MINE WINE)\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_kara/113""}, ""\n\n🌟업소정보 \n지역 하노이 - 미딩2\n업종 룸바&가라오케\n영업시간 오후7시 ~ 새벽2시\n\n🌟술값\n1인 주대 - 150만동\n2인이상 100만동/인당\n★ 2시간 기준\n\n◆ 아가씨 T/C\n50만동/2시간\n \n🌟예약문의\n전화 - "", {""type"": ""phone"", ""text"": ""[전화번호_마스킹]""}, ""\n카카오톡 - bluebigi1\n\n📣찾아오시는 길\n인어스 호텔 8층(INEARTH Hotel Hanoi 8F)\n주소 36D, Dich Vong Hau , Cau Giay Hanoi\n"", {""type"": ""link"", ""text"": ""https://goo.gl/maps/k1ShTUKLkJMmTaza7""}, """"]","[{""type"": ""plain"", ""text"": ""베트남 하노이 룸바&가라오케\n마인와인(MINE WINE)\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/hanoi_kara/113""}, {""type"": ""plain"", ""text"": ""\n\n🌟업소정보 \n지역 하노이 - 미딩2\n업종 룸바&가라오케\n영업시간 오후7시 ~ 새벽2시\n\n🌟술값\n1인 주대 - 150만동\n2인이상 100만동/인당\n★ 2시간 기준\n\n◆ 아가씨 T/C\n50만동/2시간\n \n🌟예약문의\n전화 - ""}, {""type"": ""phone"", ""text"": ""[전화번호_마스킹]""}, {""type"": ""plain"", ""text"": ""\n카카오톡 - bluebigi1\n\n📣찾아오시는 길\n인어스 호텔 8층(INEARTH Hotel Hanoi 8F)\n주소 36D, Dich Vong Hau , Cau Giay Hanoi\n""}, {""type"": ""link"", ""text"": ""https://goo.gl/maps/k1ShTUKLkJMmTaza7""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,480,640,[전화번호_마스킹]T10:39:06,[전화번호_마스킹],,,,,(File not included. Change data exporting settings to download.),MAIN.mp4,1817522,(File not included. Change data exporting settings to download.),8412,video_file,,video/mp4,,10
1306,message,[전화번호_마스킹]T18:09:30,[전화번호_마스킹],,,,,"[""안녕하세요.\n존슨입니다.\n\n10월들어 정말 많은 분들이 문의가 오시는 가운데\n가장 많은 질문을 주시고 가장 많이 궁금해 하시는 부분!!\n\n에프터인데요.\n코로나 이후, 그리고 현재 에프터 관련해서\n궁금하신 부분을 정리해 보겠습니다.\n\n먼저 알고 가셔야 할 부분이 바로\n에프터 비용인데\n가격정보야 어디서든 정보 검색만 하면 쉽게 알수 있을겁니다.\n단 이부분에 대해 알고 계셔야 할게 있는데요\n한번 보시죠\n\n하노이 한인업소 기준\n숏 250~, 롱 400~\n\n하노이 로컬기준\n숏 350~, 롱 ???(부르는게 값)\n​​\n에프터비용은 누가 가져가나요? 업소도 일부 비용을 가져가지 않나요?\n하노이 기준으로\n100% 파트너가 가져갑니다.\n업소는 술을 팔아 이윤을 남길뿐..\n에프터는 100% 파트너의 몫이기 때문에 크게 관여하지 않습니다.\n\n그래도 시장가격은 있다보니\n이부분에 대해서는 손님이 문의하시면 안내정도는 도와 드립니다.\n\n하노이 기준으로\n초이스시에 에프터분류를 대부분 잘 하지 않습니다.\n알선문제로 위험요소도 크고 요즘 단속도 많아\n정말 조심하고 있는 상황입니다.\n에프터를 원할시 손님이 직접 물어보고 에프터에 대해 직접 파트너와\n협의를 하는 시스템으로 바뀌었습니다.\n\n그리고 업소, 업주 입장에서 에프터를 안나가는 손님을 더 선호할수밖에 없는 이유는\n주대(술값)입니다.\n\n주대가 한인 업소 기준으로\n인당 무제한 요금으로 가다보니(코로나때부터 현재까지 유지하고 있는 상황)\n어차피 술값은 정해져 있고, 추가 요금은 거의 없기 때문에\n업소에서는 에프터목적으로 오시는 분들은 크게 반가워하지는 않습니다.\n\n그럴수 밖에 없는 이유가 많이 마시고 더 시켜도 술값은 고정이고\n술값은 = :인원수와 비례하기 때문에 당연히 단체를 더 선호할수밖에 없게 된 거죠.\n\n이전에는\n단품메뉴, 셋트메뉴 시스템으로 운영했었습니다.\n인당 룸차지도 있고 술과 안주를 시키면 시킬수록 매상이 올라가니\n매상을 올릴수 있도록 여러가지 신경을 많이 썻엇지만\n\n지금은\n정액요금으로 유지하고 있다보니\n위험요소와 리스크가 많은 에프터를 크게 관여하지 않게 된것이죠.\n\n이용하시는 분들은 조금 답답한 부분이 있을수 있겠지만\n이부분 역시 코로나 팬더믹의 한 여파라 볼수 도 있을것 같습니다.\n\n이전에는 여행오시는 분들도 많았고\n관광객 비중도 커서 좋았던 시절이 있었지만\n상황이 많이 달라졌습니다.\n\n참고부탁드리고\n언제든 추가 궁금하신 부분은 카톡 연락 주시기 바랍니다.\n\n감사합니다.\n\n"", {""type"": ""link"", ""text"": ""https://vina-forman99.com/notice/122""}, """"]","[{""type"": ""plain"", ""text"": ""안녕하세요.\n존슨입니다.\n\n10월들어 정말 많은 분들이 문의가 오시는 가운데\n가장 많은 질문을 주시고 가장 많이 궁금해 하시는 부분!!\n\n에프터인데요.\n코로나 이후, 그리고 현재 에프터 관련해서\n궁금하신 부분을 정리해 보겠습니다.\n\n먼저 알고 가셔야 할 부분이 바로\n에프터 비용인데\n가격정보야 어디서든 정보 검색만 하면 쉽게 알수 있을겁니다.\n단 이부분에 대해 알고 계셔야 할게 있는데요\n한번 보시죠\n\n하노이 한인업소 기준\n숏 250~, 롱 400~\n\n하노이 로컬기준\n숏 350~, 롱 ???(부르는게 값)\n​​\n에프터비용은 누가 가져가나요? 업소도 일부 비용을 가져가지 않나요?\n하노이 기준으로\n100% 파트너가 가져갑니다.\n업소는 술을 팔아 이윤을 남길뿐..\n에프터는 100% 파트너의 몫이기 때문에 크게 관여하지 않습니다.\n\n그래도 시장가격은 있다보니\n이부분에 대해서는 손님이 문의하시면 안내정도는 도와 드립니다.\n\n하노이 기준으로\n초이스시에 에프터분류를 대부분 잘 하지 않습니다.\n알선문제로 위험요소도 크고 요즘 단속도 많아\n정말 조심하고 있는 상황입니다.\n에프터를 원할시 손님이 직접 물어보고 에프터에 대해 직접 파트너와\n협의를 하는 시스템으로 바뀌었습니다.\n\n그리고 업소, 업주 입장에서 에프터를 안나가는 손님을 더 선호할수밖에 없는 이유는\n주대(술값)입니다.\n\n주대가 한인 업소 기준으로\n인당 무제한 요금으로 가다보니(코로나때부터 현재까지 유지하고 있는 상황)\n어차피 술값은 정해져 있고, 추가 요금은 거의 없기 때문에\n업소에서는 에프터목적으로 오시는 분들은 크게 반가워하지는 않습니다.\n\n그럴수 밖에 없는 이유가 많이 마시고 더 시켜도 술값은 고정이고\n술값은 = :인원수와 비례하기 때문에 당연히 단체를 더 선호할수밖에 없게 된 거죠.\n\n이전에는\n단품메뉴, 셋트메뉴 시스템으로 운영했었습니다.\n인당 룸차지도 있고 술과 안주를 시키면 시킬수록 매상이 올라가니\n매상을 올릴수 있도록 여러가지 신경을 많이 썻엇지만\n\n지금은\n정액요금으로 유지하고 있다보니\n위험요소와 리스크가 많은 에프터를 크게 관여하지 않게 된것이죠.\n\n이용하시는 분들은 조금 답답한 부분이 있을수 있겠지만\n이부분 역시 코로나 팬더믹의 한 여파라 볼수 도 있을것 같습니다.\n\n이전에는 여행오시는 분들도 많았고\n관광객 비중도 커서 좋았던 시절이 있었지만\n상황이 많이 달라졌습니다.\n\n참고부탁드리고\n언제든 추가 궁금하신 부분은 카톡 연락 주시기 바랍니다.\n\n감사합니다.\n\n""}, {""type"": ""link"", ""text"": ""https://vina-forman99.com/notice/122""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,,,[전화번호_마스킹]T10:38:58,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 3, ""emoji"": ""👍""}]",,,,,,,,,,,,,
