id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1551,message,2024-11-26T21:39:57,1732624797,,,,,반갑습니다,"[{""type"": ""plain"", ""text"": ""반갑습니다""}]",,,베트남 이장,user8177527023,,,,,,,,,,,1549,,,,,,,,
1552,message,2024-11-26T21:41:00,1732624860,,,,,,[],,,베트남 이장,user8177527023,(File not included. Change data exporting settings to download.),sticker.webp,50800,(File not included. Change data exporting settings to download.),26980,sticker,💬,image/webp,489,512,,,,,,,,,
1553,service,2024-11-26T22:35:03,1732628103,기적이,user7310631614,invite_members,,,[],"[""기적이""]",,,,,,,,,,,,,,,,,,,,,,
1555,message,2024-11-26T22:47:25,1732628845,,,,,,[],,,베트남 이장,user8177527023,(File not included. Change data exporting settings to download.),sticker.webp,12110,(File not included. Change data exporting settings to download.),6886,sticker,💬,image/webp,512,512,,,,,,,,,
1556,message,2024-11-26T23:00:30,1732629630,,,,,선물개념으로 먼저 땡겨서,"[{""type"": ""plain"", ""text"": ""선물개념으로 먼저 땡겨서""}]",,,Bruce Don Gral Lee,user563124383,,,,,,,,,,,1543,2024-11-27T01:30:04,1732638604,"[{""type"": ""emoji"", ""count"": 1, ""emoji"": ""👍"", ""recent"": [{""from"": ""베트남 이장"", ""from_id"": ""user8177527023"", ""date"": ""2024-11-27T01:30:04""}]}]",,,,,
1557,message,2024-11-26T23:09:10,1732630150,,,,,호치민 가라오케 정보 공유 부탁드립니다..,"[{""type"": ""plain"", ""text"": ""호치민 가라오케 정보 공유 부탁드립니다..""}]",,,기적이,user7310631614,,,,,,,,,,,,,,,,,,,
1558,message,2024-11-26T23:24:08,1732631048,,,,,,[],,,P Pp,user6569181365,(File not included. Change data exporting settings to download.),sticker.webp,50800,(File not included. Change data exporting settings to download.),26980,sticker,💬,image/webp,489,512,,,,,,,,,
1560,message,2024-11-26T23:26:16,1732631176,,,,,여친을 만들어야하는데,"[{""type"": ""plain"", ""text"": ""여친을 만들어야하는데""}]",,,Bruce Don Gral Lee,user563124383,,,,,,,,,,,1559,,,,,,,,
1561,message,2024-11-26T23:26:20,1732631180,,,,,허허 팁 겁나 주면서 키스 받아줄래 하는게 최선 아닐까 싶어요,"[{""type"": ""plain"", ""text"": ""허허 팁 겁나 주면서 키스 받아줄래 하는게 최선 아닐까 싶어요""}]",,,베트남 이장,user8177527023,,,,,,,,,,,1559,,,,,,,,
1563,message,2024-11-26T23:27:09,1732631229,,,,,몸은 잘줘도 입술은 잘 허락안하는게 유흥계 처자들인데,"[{""type"": ""plain"", ""text"": ""몸은 잘줘도 입술은 잘 허락안하는게 유흥계 처자들인데""}]",,,Bruce Don Gral Lee,user563124383,,,,,,,,,,,,,,,,,,,
